name,protocol,new name,protocol_id
1inch Liquidity Protocol,One Inch Liquidity Pool,1inch,95
1inch Liquidity Protocol,One Inch Liquidity Pool,1inch,95
1inch,Zerox Exchange v2,1inch v2,95
1inch,Zerox Exchange v3,1inch v3,95
AfroDex,EtherDelta,AfroDex,401
Air Swap,AirSwap Exchange,AirSwap v1,402
AirSwap,AirSwap v2,AirSwap v2,403
Amplbitcratic,EtherDelta,Amplbitcratic,404
Anyswap,Uniswap,Anyswap,350
ApeSwap,Uniswap v2,ApeSwap,334
BakerySwap,Uniswap v2,BakerySwap,346
Balancer,Balancer Pool Token,Balancer,12
Bamboo Relay,Zerox Exchange,Bamboo Relay,405
Bamboo Relay,Zerox Exchange v2,Bamboo Relay v2,406
Bamboo Relay,Zerox Exchange v3,Bamboo Relay v3,407
Bancor Network,Bancor Network,Bancor Network,408
Bancor Network,Bancor Network v2,Bancor Network v2,409
BestSwap,Uniswap v2,BestSwap,410
Bitox,EtherDelta,Bitox,411
BSCSwap,Uniswap v2,BSCSwap,349
CellSwap,Uniswap v2,CellSwap,412
Cellswap,Uniswap v2,Cellswap v2,413
Cofix,Cofix,Cofix,55
Coinchangex,EtherDelta,Coinchangex,414
CoinSwap,Uniswap v2,CoinSwap,415
Cream Pool Token,Balancer Pool Token,Cream Pool Token,416
CRO DeFi Swap,Uniswap v2,CRO DeFi Swap,417
Curve,Curve,Curve,3
DDEX,Zerox Exchange,DDEX,128
DDEX,Zerox Exchange v2,DDEX v2,128
DecentrEx,EtherDelta,DecentrEx,418
DeversiFi,Zerox Exchange v2,DeversiFi,53
dex.blue,dex.blue,dex.blue,419
Dodo,Dodo,Dodo,48
DUBIex,DUBIex,DUBIex,420
dYdX,dYdX2,dYdX,46
ERC dEX,Zerox Exchange,ERC dEX,421
ERC dEX,Zerox Exchange v2,ERC dEX v2,422
EtherBlockchain,Zerox Exchange v2,EtherBlockchain,423
EtherBlockchain,Zerox Exchange v3,EtherBlockchain v2,424
ETHERCExchange,ETHERCExchange,ETHERCExchange,425
EtherDelta,EtherDelta,EtherDelta,426
Ethernext,EtherDelta,Ethernext,427
Ethfinex,Ethfinex,Ethfinex,428
Ethfinex,Zerox Exchange v2,Ethfinex v2,429
FFFSwap,Uniswap v2,FFFSwap,430
Fordex,Zerox Exchange v2,Fordex,431
GUDecks,Zerox Exchange v2,GUDecks,432
GUDeks,Zerox Exchange v2,GUDeks,433
HiSwap,Uniswap v2,HiSwap,434
Holaswap,Uniswap v3,Holaswap,435
Hydro Hybrid Exchange,DDEX Hydro v1.0,Hydro Hybrid Exchange,436
Hydro Hybrid Exchange,DDEX Hydro v1.1,Hydro Hybrid Exchange v2,437
Hydro Hybrid Exchange,Zerox Exchange v2,Hydro Hybrid Exchange v3,438
IDEX,IDEX,IDEX,139
IDEX,IDEX v2,IDEX v2,139
